Qno.,word,FClass,CClass
109,highest point Japan,mount,LOC
110,chihuahuas come,desc,DESC
111,Barney Rubble go work drops Fred `` Flintstones '' cartoon series,other,LOC
112,world four oceans,other,LOC
113,work Michelangelo bears signature,cremat,ENTY
114,largest snake world,animal,ENTY
115,medium Stuart Hamblen considered first singing cowboy,cremat,ENTY
116,Internet can find song lyrics database similar International Lyrics Server,other,LOC
117,much money back injury lawsuit get,money,NUM
118,common name acetylsalicylic acid,termeq,ENTY
119,Georgetown `` Hoya '' mean,def,DESC
120,can find list `` classic '' books 5th 6th graders read,other,LOC
121,two products use tiger symbol,product,ENTY
122,election new Pope announced world,manner,DESC
123,long take blood make one complete trip body,period,NUM
124,chickens baby chicks,manner,DESC
125,historical relationship Catholic Church bingo,desc,DESC
126,element calcium named,manner,DESC
127,crooner joined Andrews Sisters Pistol Packin Mama,ind,HUM
128,piano company claims product `` Instrument immortals '',gr,HUM
129,Bounty mutiny take place,date,NUM
130,novel inspired movie BladeRunner,cremat,ENTY
131,transistor,def,DESC
132,film starring Jude Law,cremat,ENTY
133,Hollywood dog died arms Jean Harlow 1932,animal,ENTY
134,common elements Earth crust,substance,ENTY
135,"much cost purchase 2-foot-square party tent , sides ,",money,NUM
136,actress received Oscar nominations,ind,HUM
137,equity securities,def,DESC
138,gymnophobia,def,DESC
139,many years fossils take form,count,NUM
140,Orinoco,other,LOC
141,name `` Little Rascals '' dog,animal,ENTY
142,"city boasts Penn Landing , banks Delaware river",city,LOC
143,Broadway musical inspired Cervantes Don Quixote,cremat,ENTY
144,"origin word , JJ .",desc,DESC
145,many hostages killed Entebbe raid,count,NUM
146,can raise IQ,manner,DESC
147,INRI stand used Jesus ' cross,exp,ABBR
148,produces Spumante,gr,HUM
149,earns money hard way,ind,HUM
150,founded People Temple Commune,ind,HUM
151,athlete makes money sports merchandise sales,ind,HUM
152,many bends standard paper clip,count,NUM
153,discovered electricity,ind,HUM
154,part body contains corpus callosum,body,ENTY
155,first American space,ind,HUM
156,two South American countries n't border Brazil,country,LOC
157,album put Beatles cover Time 1967,cremat,ENTY
158,"poem contains line , `` grow old best yet '' .",cremat,ENTY
159,dental root canal,def,DESC
160,war Wanna-Go-Home Riots occur,event,ENTY
161,busiest air travel season,date,NUM
162,colored part eye called,body,ENTY
163,hook worms,def,DESC
164,Rose Bowl played,other,LOC
165,Japanese car maker biggest percentage sale domestic market,gr,HUM
166,mayor Marbella,ind,HUM
167,"sun-blasted , 14-mile wide valley just north Mojave desert",other,LOC
168,year Thatcher become prime minister,date,NUM
169,many months take moon revolve around Earth,count,NUM
170,49 steps,other,LOC
171,year De Gaulle elected president France,date,NUM
172,sings themes `` Dawson Creek '' `` Felicity '',ind,HUM
173,directed `` Jaws '',ind,HUM
174,T.V. show Tom Terrific found,cremat,ENTY
175,Indian tribe F Troop perpetually battle,gr,HUM
176,Indian Pudding come,desc,DESC
177,clothing labels say `` Use nonchlorine bleach '',reason,DESC
178,many colonies involved American Revolution,count,NUM
179,name city Maurizio Pellegrin lives,city,LOC
180,can find pictorial directions build simple treehouse,other,LOC
181,"game board shows territories Irkutsk , Yakutsk Kamchatka",sport,ENTY
182,name managing director Apricot Computer,ind,HUM
183,occupation Nicholas Cage,title,HUM
184,horseshoes bring luck,reason,DESC
185,"401 , K , plan",def,DESC
186,causes pneumonia,reason,DESC
187,three winter months southern hemisphere,date,NUM
188,gringo mean,def,DESC
189,country contains Africa northernmost point,country,LOC
190,therapy attempts elicit `` primal scream '',dismed,ENTY
191,Kalahari desert,other,LOC
192,Ventura County police department seized largest cocaine shipment history,gr,HUM
193,city sometimes called Gotham,city,LOC
194,dangles tongue palate,body,ENTY
195,created Dennis Menace,ind,HUM
196,dummy received honorary degree Northwestern University,ind,HUM
197,first Wall Street Journal published,date,NUM
198,countries largest areas forest,country,LOC
199,start web based business,manner,DESC
200,Name Alvin brothers,ind,HUM
201,Eagle syndrome styloid process,def,DESC
202,Jayne Mansfield die,manner,DESC
203,royal wedding Prince Andrew Fergie take place,date,NUM
204,actor said Day Races : `` Either dead watch stopped '',ind,HUM
205,explorer nicknamed Iberia Pilot,ind,HUM
206,CNN began broadcasting year,date,NUM
207,ball hits foul pole called,termeq,ENTY
208,makes hamburgers taste like steakburgers,reason,DESC
209,company created Internet browser Mosaic,gr,HUM
210,rites accompanying circumcision newly born-child Judaism called,event,ENTY
211,education system 1960,other,ENTY
212,South American city world highest commercial landing field,city,LOC
213,can find cities cable-modem access,manner,DESC
214,Betsy Ross famous,reason,DESC
215,many species sharks,count,NUM
216,`` snoogans '',def,DESC
217,many people world,count,NUM
218,shrubs can planted will safe deer,plant,ENTY
219,organization offices broken Watergate 1972,gr,HUM
220,design ship Titanic,desc,DESC
221,S.O.S. stand,exp,ABBR
222,Name technique widely used detect birth defects,techmeth,ENTY
223,daily requirement folic acid expectant mother,desc,DESC
224,`` 7-minute cigarette '',def,DESC
225,four forms gold occur,other,ENTY
226,acreage Chappellet vineyard,volsize,NUM
227,correctly say word ` qigong ',manner,DESC
228,beethoven die,date,NUM
229,much new railroad coal car cost,money,NUM
230,two European countries entered War American Independence British,country,LOC
231,filmmakers collabrative,def,DESC
232,Russian composer Prelude C Sharp Minor brought fame fortune,ind,HUM
233,caused Harry Houdini death,reason,DESC
234,"mother man king , duke Windsor",ind,HUM
235,many revolutions standard LP make three minutes,count,NUM
236,name tallest mountain world,mount,LOC
237,can find review Nightmare Elm Street film journal,other,LOC
238,slowest Olympic swimming stroke,techmeth,ENTY
239,name first Russian astronaut spacewalk,ind,HUM
240,disease transmitted Anopheles mosquito,dismed,ENTY
241,rum `` mixable '' one-brand bar,food,ENTY
242,many South American countries letter Z names,count,NUM
243,contents proposition 98,def,DESC
244,George Washington born,other,LOC
245,"many people ground killed bombing Pan Flight 103 Lockerbie , Scotland , December 21 , CD .",count,NUM
246,wrote NN DT NNP NNP '',ind,HUM
247,paracetamol,def,DESC
248,powers weaknesses Green Lantern ring,desc,DESC
249,"mosquito bite draws blood , DT NN CC DT NN .",animal,ENTY
250,first steel mill United States built,date,NUM
251,diminutive American female gymnast stole show 1984 Olympics,ind,HUM
252,origin name Katie,desc,DESC
253,"schools Washington , DC NN NN VBP NN NN NN NN .",gr,HUM
254,Berlin Wall go,date,NUM
255,Terrence Malick,desc,HUM
256,instrument Ray Charles best known playing,instru,ENTY
257,"meaning Latin battle cry : Ad arma , ad arma .",def,DESC
258,mascot Notre Dame University,other,ENTY
259,"Las Vegas hotel burned November , 1980 , loss 84 lives",other,LOC
260,Mount St. Helen last significant eruption,date,NUM
261,CNN abbreviation,exp,ABBR
262,World War start,date,NUM
263,many feet fathom,count,NUM
264,Canada two-penny black,def,DESC
265,European city Nicois live,city,LOC
266,can find year Beanie Baby introduced,manner,DESC
267,classic definition tragic hero,def,DESC
268,Microsoft Windows 3 owe success,other,ENTY
269,President Afghanistan 1994,ind,HUM
270,"ways getting stretch marks besides pregnancy , weight loss , weight lifting",techmeth,ENTY
271,brontosauruses eat,food,ENTY
272,color bottles good Rhine wines come,color,ENTY
273,lead actress movie ` Sleepless Seattle ',ind,HUM
274,16th President United States,ind,HUM
275,two sons Ozzie Harriet Nelson,ind,HUM
276,molybdenum,def,DESC
277,Boxing Day,date,NUM
278,lowest level American judiciary,other,ENTY
279,battle Somme fought,date,NUM
280,many people Randy Craft kill,count,NUM
281,official animal Canada,animal,ENTY
282,Spielberg direct `` Jaws '',date,NUM
283,size largest akita,volsize,NUM
284,animal biggest eyes,animal,ENTY
285,California capital,city,LOC
286,author book computer hackers called `` Cuckoo Egg : Tracking Spy Maze Computer Espionage '',ind,HUM
287,founding member Pink Floyd band,ind,HUM
288,European country home beer-producing city Budweis,country,LOC
289,find balance social security account,manner,DESC
290,history Valentine Day cards,desc,DESC
291,Christopher Columbus born,other,LOC
292,Italians call Florence,termeq,ENTY
293,get top Eiffel Tower,manner,DESC
294,` PSI ' stand,exp,ABBR
295,sea Romans call mare nostrum,other,LOC
296,term bet cards dealt,termeq,ENTY
297,"came first , according Genesis 1 : 2 : 22 - chicken egg",animal,ENTY
298,city Flintstones live,city,LOC
299,Latin incompetent,termeq,ENTY
300,chemicals used lethal injection,dismed,ENTY
301,toy company world No.1 maker female apparel,gr,HUM
302,board game `` wood-pusher '' play poorly,sport,ENTY
303,Doonesbury character likely turn werewolf,ind,HUM
304,abbreviation micro,abb,ABBR
305,7 articles constitution,other,ENTY
306,won Super Bowls,gr,HUM
307,NASDAQ stand,exp,ABBR
308,BPH,exp,ABBR
309,fastest commercial automobile can bought US,other,ENTY
310,stadium Miami Dolphins play home games,other,LOC
311,speaking role `` Silent Movie '',ind,HUM
312,poop sometimes different colors,reason,DESC
313,Einstein IQ,other,NUM
314,day Pearl Harbor attacked 1942,date,NUM
315,girl name `` Teddy '' affectionate form,ind,HUM
316,state John F. Kennedy buried,state,LOC
317,best way remove wallpaper,techmeth,ENTY
318,U.S. state element named,state,LOC
319,company tabulates ballots voting Academy Awards,gr,HUM
320,tradition best man start,manner,DESC
321,many years ago ship Titanic sink,count,NUM
322,deepest area Arctic Ocean,other,LOC
323,Halloween colors,color,ENTY
324,silk screening done,manner,DESC
325,"latitude longitude El Paso , Texas",other,NUM
326,made boat gopher wood,ind,HUM
327,can find `` Fifth Element '' screensaver,other,LOC
328,Bloom County resident wreaks havoc computer,ind,HUM
329,match name social security number,manner,DESC
330,rainbow form,manner,DESC
331,normal resting heart rate healthy adult,other,NUM
332,population Ohio,other,NUM
333,many calories Big Mac,count,NUM
334,Hazmat stands,def,DESC
335,creature scares people film `` Jaws '',animal,ENTY
336,part John Peter Zenger play deveopment newspaper America,ind,HUM
337,followed Caesar,ind,HUM
338,four elements,substance,ENTY
339,first woman golfer earn million,ind,HUM
340,tallest piece chessboard,other,ENTY
341,Answers.com address,other,LOC
342,can buy movies videotape online,other,LOC
343,advertizing Frito-Lay,ind,HUM
344,leading competitor Trans Union Company,gr,HUM
345,product Robert Conrad dare people knock shoulder,product,ENTY
346,invented radio,ind,HUM
347,American dollar equivalent 8 pounds U.K.,count,NUM
348,different approaches systems analysis,techmeth,ENTY
349,doctors diagnose bone cancer,manner,DESC
350,man behind pig-the man pulls strings speaks Miss Piggy,ind,HUM
351,speed Mississippi River,speed,NUM
352,developmental stages swimmer,other,ENTY
353,actor first portrayed James Bond,ind,HUM
354,ocean largest world,other,LOC
355,"first American poet win Nobel Prize literature , 1948",ind,HUM
356,year Jack Nicklaus join Professional Golfers Association tour,date,NUM
357,many sonnets Shakespeare write,count,NUM
358,causes redness cheeks blush,reason,DESC
359,won Nobel Peace Prize 1991,ind,HUM
360,Challengers Unknown,gr,HUM
361,Define Pheonix Club,def,DESC
362,city Christian Crusaders fight recapture Muslims,city,LOC
363,mean `` Rupee Depreciates '',def,DESC
364,gaming devices dubbed `` Mississippi marbles '' `` Memphis dominoes '',other,ENTY
365,first coach Cleveland Browns,ind,HUM
366,successful arometherapy,manner,DESC
367,Jewish holiday saw start 1973 Mideast War,event,ENTY
368,copier work,manner,DESC
369,speed Mississippi River,speed,NUM
370,said Super Bowl III 1969 : `` 'll win- guarantee '',ind,HUM
371,Dudley Do-Right horse name,animal,ENTY
372,declared : `` whores shan 't stop ripping '',ind,HUM
373,chocolate come,other,LOC
374,TV game show saw contestant admit picking toes shower,cremat,ENTY
375,Soviet leader owned Rolls-Royce,ind,HUM
376,can find case Individuals Disabilities Education Act 1991,other,LOC
377,war Florence Nightingale tend troops,event,ENTY
378,"wrote song , `` Stardust ''",ind,HUM
379,many Beatles ' records went #1,count,NUM
380,prime minister Canada serve 22 years necessarily consecutively,ind,HUM
381,abbreviation company name ` General Motors ',abb,ABBR
382,mountains lie Arkansas Missouri rivers,mount,LOC
383,received Will Rogers Award 1989,ind,HUM
384,function RAM,reason,DESC
385,closest G2 Spectrum Yellow Dwarf Earth,other,LOC
386,many equal angles isosceles triangle,count,NUM
387,fear cockroaches called,dismed,ENTY
388,CBS soap opera interrupted bulletin John F. Kennedy assassination,cremat,ENTY
389,use 24-hour clock instead 12-hour clock,desc,DESC
390,name lawyer represented Randy Craft,ind,HUM
391,United States President dreamed assassinated,ind,HUM
392,film Lee Marvin win 1965 best actor Oscar,cremat,ENTY
393,Basque country located,other,LOC
394,product `` Mrs. Olsen '' promote,product,ENTY
395,time day Emperor Hirohito die,date,NUM
396,dry ice,def,DESC
397,powerful card Euchre,other,ENTY
398,`` intractable plantar keratoma '' mean,def,DESC
399,many years take James Joyce write Ulysses,count,NUM
400,crop failure caused Irish Famine,food,ENTY
401,South Korean city served Kimpo International Airport,city,LOC
402,many types dogs ' tails - three,count,NUM
403,longest-running television series,cremat,ENTY
404,predators exist Antarctica,animal,ENTY
405,difference generator alternator,desc,DESC
406,energy created,manner,DESC
407,beer advertised `` three rings '',food,ENTY
408,quantity American soldiers still unaccounted Vietnam war,other,NUM
409,golfing accessory patented George Grant December 12,techmeth,ENTY
410,different types plastic,other,ENTY
411,correct say ` qigong ',manner,DESC
412,highest mountain earth Mount Everest discovered,mount,LOC
413,"Ligurian Republic , 1797-185 ,",other,LOC
414,country people top television watchers,country,LOC
415,women suffrage amendment ratified,date,NUM
416,Polynesian people inhabit New Zealand,gr,HUM
417,movie tour Roman empire features admonition : `` Row well live '',cremat,ENTY
418,Nevada center dubbed Biggest Little City World,city,LOC
419,"President lived 219 North Delaware Street , Independence , Missouri",ind,HUM
420,Give reason American Indians oftentimes dropping school .,reason,DESC
421,must soccer goalie stand permitted handle ball,other,LOC
422,difference classical conditioning operant conditioning,desc,DESC
423,U.S. state first woman governor elected,state,LOC
424,interesting facts information dogsledding,desc,DESC
425,year Hitler die,date,NUM
426,famous model married Billy Joel,ind,HUM
427,kind animal Babar,animal,ENTY
428,Jane Goodall known,reason,DESC
429,killed Bob Marley,other,ENTY
430,much money Dumbo ears insured,money,NUM
431,danced stardom Fred Astaire 1941 'll Never Get Rich,ind,HUM
432,Stein Eriksen,desc,HUM
433,name Billie mean,def,DESC
434,fastest swimmer world,ind,HUM
435,highest peak Africa,mount,LOC
436,Procter & Gamble headquartered U.S.,other,LOC
437,desert called Garden Allah,other,LOC
438,bicornate animals two,other,ENTY
439,function community water tower serve,reason,DESC
440,fear weakness,dismed,ENTY
441,many miles Ohio North Carolina,count,NUM
442,much snow equals inch rain,count,NUM
443,G.M.T. stand,exp,ABBR
444,Inuit Eskimo mean,def,DESC
445,song served closing theme Johnny Cash Show,cremat,ENTY
446,field sport dentist William Beers promote write standard book rules,sport,ENTY
447,tie dye clothes,manner,DESC
448,average teenager first intercourse,date,NUM
449,doesn 't www.answers.com answers questions,reason,DESC
450,actor autobiography titled Yesterdays,ind,HUM
451,Russian master spy lived U.S. name Emil Goldfus,ind,HUM
452,19th hole golf course,other,LOC
453,nature purpose tornadoes,reason,DESC
454,played original Charlie Angels,ind,HUM
455,can find person address telephone number,other,LOC
456,"English word comes Old French covrefeu , meaning cover fire",word,ENTY
457,musical instrument Prewitt play James Jones Eternity,instru,ENTY
458,Sarge Steel get metal hand,other,LOC
459,makes popcorn pop,reason,DESC
460,wrote Night Iguana,ind,HUM
461,hair grow fastest,body,ENTY
462,country King Gustav V reign 197 195,country,LOC
463,painted Mother Child,ind,HUM
464,speed Mississippi River,speed,NUM
465,area world Six Day War fought,other,LOC
466,brightest star visible Earth,other,LOC
467,film marked Robert Redford directorial debut,cremat,ENTY
468,Mao second name,ind,HUM
469,film films Jude Law appeared,cremat,ENTY
470,hyenas live,other,LOC
471,`` Queen Mother '',desc,HUM
472,commonly-spoken language Belgium,lang,ENTY
473,DNA - man woman,ind,HUM
474,Maid-Rites,def,DESC
475,"children tale contains line : `` Come , Cinderslut , hold skein wool ''",cremat,ENTY
476,level government governmental agency responsible dealing racism,gr,HUM
477,many referees work soccer game,count,NUM
478,cocktail concoct whisky sweet vermouth,food,ENTY
479,say `` fresh '' Spanish,termeq,ENTY
480,bee hives cranberry bogs,desc,DESC
481,caused Lynmouth floods,reason,DESC
482,Tulip Festival Michigan,date,NUM
483,"came name , El Nino",ind,HUM
484,movie Madilyn Kahn star Gene Wilder,cremat,ENTY
485,type bridge Golden Gate Bridge,other,ENTY
486,dictator nickname `` El Maximo '',ind,HUM
487,stereo manufacturer `` Slightly ahead time '',gr,HUM
488,U.S. city Queen Pacific,city,LOC
489,TV sitcom character maiden name Ethel Potter,ind,HUM
490,first Lifesaver flavor,food,ENTY
491,kept famous diary English language,ind,HUM
492,can find top 1 singles,other,LOC
493,many degrees cooler inside cucumber air outside,count,NUM
494,Spanish artist painted Crucifixion,ind,HUM
495,Jewish bible called,cremat,ENTY
496,grass green,reason,DESC
497,firewall,def,DESC
498,spy novelist served Moscow correspondent Reuter Times London,ind,HUM
499,oil company almost picked word meant `` stalled car '' Japanese new international name,gr,HUM
500,long take Spider-Man web evaporate,period,NUM
501,Randy Steven Craft lawyer,ind,HUM
502,known Spice Island,other,LOC
503,first host Person Person,ind,HUM
504,Name Ranger always Yogi Bear .,ind,HUM
505,"deck cards includes Wheel Fortune , Lovers , Death",other,ENTY
506,Statue Liberty wear feet,other,ENTY
507,superstar rent-a-cars,ind,HUM
508,McCarren Airport located city,city,LOC
509,"household facility contains float ball , ballcock , overflow tube",other,ENTY
510,name Betty Boop dog,animal,ENTY
511,fraction beaver life spent swimming,perc,NUM
512,Bridge San Luis Rey made,substance,ENTY
513,economists,desc,DESC
514,country largest sheep population,country,LOC
515,"need take dog live Dominica , West Indies year",desc,DESC
516,country world largest importer cognac,country,LOC
517,many years Johnnie Walker Black Label aged,count,NUM
518,SIDS stand,exp,ABBR
519,Grenada main commodity export,other,ENTY
520,"much black-and-white 1-cent stamp worth , Thomas Jefferson ,",money,NUM
521,makes clitoris sensitive,reason,DESC
522,"country time zones , 11",country,LOC
523,`` magic '' Mandrake employ,other,ENTY
524,president Stanford University,ind,HUM
525,Whose first presidential order : `` Let get goddamn thing airborne '',ind,HUM
526,"introduced commercially Bayer A.G. Leverkusen , 1899",other,ENTY
527,city Logan Airport,city,LOC
528,nanometer,def,DESC
529,many innings regulation softball game,count,NUM
530,CNN go air,date,NUM
531,largest city Great Lakes,city,LOC
532,telephone number University Kentucky,code,NUM
533,invented baseball,ind,HUM
534,many wives Brigham Young,count,NUM
535,product market good hiding facial scars,product,ENTY
536,long Coney Island boardwalk,dist,NUM
537,city gained renown pea-soup fogs,city,LOC
538,`` Janelle '' mean,def,DESC
539,get another city newspaper,manner,DESC
540,Name movie Sioux Indians starring Kevin Costner .,cremat,ENTY
541,"shot back Poker game Deadwood , Dakota territory",ind,HUM
542,distinct physical characterstics Arabian horse,desc,DESC
543,fear thunder,dismed,ENTY
544,animal killed people,animal,ENTY
545,many colleges Wyoming,count,NUM
546,Russian seaport name meaning `` Lord East '',city,LOC
547,can stocks traded on-line,other,LOC
548,Battle Hastings,date,NUM
549,kind file extension .dbf,other,ENTY
550,Muhammad live,date,NUM
551,"then-derogatory term applied painters Monet , Sisley , Pissarro , Renoir Degas",termeq,ENTY
552,wop,def,DESC
553,rocks come,desc,DESC
554,stop background noise car stereo,manner,DESC
555,people mountain climb Nepal,mount,LOC
556,best college country,gr,HUM
557,viscosity,def,DESC
558,name sitcom Alyssa Milano starred Tony Danza,cremat,ENTY
559,Nordic nations,country,LOC
560,Internet can get information Fifth Amendment American Bill Rights,other,LOC
561,U.S. state borders Illinois north,state,LOC
562,Name film Jude Law acted .,cremat,ENTY
563,temperature baking Peachy Oat Muffins,temp,NUM
564,fear bees,dismed,ENTY
565,Vladimir Nabokov novel features Professor Humbert love 12-year-old girl,cremat,ENTY
566,green bog,def,DESC
567,myth Santa Claus originate,other,LOC
568,chairbound basophobic fear,other,ENTY
569,city served Logan International Airport,city,LOC
570,wrestling star became `` Incredible Hulk '',ind,HUM
571,attracts tourists Reims,other,LOC
572,game Steve McQueen Edward G. Robinson play Cincinnati Kid,sport,ENTY
573,fastener Whitcomb Judson patent 1893,other,ENTY
574,auberge France,def,DESC
575,star 1965 Broadway hit Golden Boy,ind,HUM
576,Procter & Gamble based U.S.,other,LOC
577,army founded William Booth wife Catherine,gr,HUM
578,ribavirin consist,substance,ENTY
579,Name soft drink `` number one sun . '',food,ENTY
580,web address list e-mail addresses members House Representatives,other,LOC
581,real name,ind,HUM
582,ears center balance,reason,DESC
583,invented toothbrush,ind,HUM
584,name popular song Creeps sang,cremat,ENTY
585,Abominable Snowman said wander,other,LOC
586,fear alone,dismed,ENTY
587,many dots make symbol `` '',count,NUM
588,get adding Lactobacillus bulgaricus milk,food,ENTY
589,"reading classified ads , EENTY : stand",exp,ABBR
590,many hearts octopus,count,NUM
591,plant largest seed,plant,ENTY
592,country allowed drive Israel 1979,country,LOC
593,approaching cyclist shouts : `` Oil '',other,ENTY
594,"baseball star turned $1 , 000-a-year contract felt n't earned",ind,HUM
595,kind sport often associated hooligans,sport,ENTY
596,video game hero fans call Chomper,ind,HUM
597,many holes tenpin bowling ball,count,NUM
598,longest word English language,word,ENTY
599,city state gay men live,other,LOC
600,"TV comediennes characters include former movie star Nora Desmond , secretary Mrs. Wiggins housewife named Eunice",ind,HUM
601,`` bear beers '',animal,ENTY
602,Name operating system runs IBM-compatible machines .,other,ENTY
603,name `` Justin '' mean,def,DESC
604,percentage body muscle,perc,NUM
605,color dry wine served veal roasts chops,color,ENTY
606,golf ball made,substance,ENTY
607,Amish religion,def,DESC
608,average daycare provider get paid New England,money,NUM
609,name 187s Irish terrorist group Pennsylvania mining areas,gr,HUM
610,played Ringo Kid 1939 film Stagecoach,ind,HUM
611,died 1 feet John F. Kennedy,ind,HUM
612,`` coppertop '' battery,def,DESC
613,sign Water Carrier zodiacal symbol,symbol,ENTY
614,animals find stock market,animal,ENTY
615,color,def,DESC
616,site www.questions.com going open,date,NUM
617,Shostakovich write Rostropovich,cremat,ENTY
618,first name Nipsy Russell given birth,ind,HUM
619,can get free technical information Electric Vehicle,manner,DESC
620,youngest Beatles,ind,HUM
621,shipyard inspector James J. Kilroy designate equipment satisfactory,manner,DESC
622,Jellicle Cat,def,DESC
623,can find best free evidence debate Russia,other,LOC
624,Bill Gates Microsoft E-mail address,other,LOC
625,second hardest substance,substance,ENTY
626,several San Diego schools stop serving apples students,reason,DESC
627,Russian city boasts Hermitage Museum,city,LOC
628,Bastille Day,date,NUM
629,makes tornado turn,reason,DESC
630,many shots can stock M16 hold,count,NUM
631,two colors blind suffer protanopia,color,ENTY
632,n't guys sort contest ask question whoever finds answers wins prize,reason,DESC
633,Coronado,desc,HUM
634,name movie starred Sharon Stone Arnold Schwarzenegger,cremat,ENTY
635,artificial intelligence,def,DESC
636,flatfish eat,food,ENTY
637,first Holy Roman Emperor,ind,HUM
638,can use remove stubborn gummed labels diskettes,other,ENTY
639,day week sees fatal car accidents,date,NUM
640,"origin word , magic",desc,DESC
641,sport shag flies,sport,ENTY
642,white chocolate,def,DESC
643,Trinidad,other,LOC
644,Name organization presided Security Council .,gr,HUM
645,"graced airwaves pearls `` ya lo-o-ove Get naked , baby ! ''",ind,HUM
646,kind wine Spumante,food,ENTY
647,portrayed portly criminologist Carl Hyatt Checkmate,ind,HUM
648,say love Spanish,termeq,ENTY
649,name Gina mean,def,DESC
650,advanced handheld calculator world,product,ENTY
651,fast light,speed,NUM
652,belt low pressure around equator called,termeq,ENTY
653,shooting stars,def,DESC
